,id,timestamp,datetime,date,ticker,open,high,low,close,volume,volume_weighted,trades,resultsCount,request_id,etl_datetime,market_cap,shares,position_value
25,26,1758513600000,2025-09-22 04:00:00,2025-09-22,BAC,51.76,52.35,51.755,51.92,27467951,52.0302,146083,5,dd95ac8dfd433cfc9a08cd1ffd91e65c,2025-10-19 14:35:56.042281,384568704439.04004,32.10066769388803,1666.6666666666665
26,27,1758600000000,2025-09-23 04:00:00,2025-09-23,BAC,52.0,52.88,51.515,51.7,28278182,51.9695,152751,5,dd95ac8dfd433cfc9a08cd1ffd91e65c,2025-10-19 14:35:56.096439,382939176030.4,32.10066769388803,1659.6045197740111
27,28,1758686400000,2025-09-24 04:00:00,2025-09-24,BAC,51.85,52.25,51.455,51.7,27010386,51.7705,147841,5,dd95ac8dfd433cfc9a08cd1ffd91e65c,2025-10-19 14:35:56.155846,382939176030.4,32.10066769388803,1659.6045197740111
28,29,1758772800000,2025-09-25 04:00:00,2025-09-25,BAC,51.48,52.33,51.44,51.85,22957932,51.8948,146220,5,dd95ac8dfd433cfc9a08cd1ffd91e65c,2025-10-19 14:35:56.214197,384050218127.2,32.10066769388803,1664.4196199280943
29,30,1758859200000,2025-09-26 04:00:00,2025-09-26,BAC,52.11,52.62,51.98,52.21,20025763,52.2582,131416,5,dd95ac8dfd433cfc9a08cd1ffd91e65c,2025-10-19 14:35:56.272479,386716719159.52,32.10066769388803,1675.9758602978939
20,21,1758513600000,2025-09-22 04:00:00,2025-09-22,C,101.76,103.805,101.7,103.49,11474533,103.1746,116606,5,aa77721e7e3b74ce45bc6e5e2bc4b6ec,2025-10-19 14:35:42.933240,190514523464.02,16.10461558282604,1666.6666666666667
21,22,1758600000000,2025-09-23 04:00:00,2025-09-23,C,103.53,105.59,102.41,103.0,15747880,103.8131,163533,5,aa77721e7e3b74ce45bc6e5e2bc4b6ec,2025-10-19 14:35:43.013534,189612483494.0,16.10461558282604,1658.775405031082
22,23,1758686400000,2025-09-24 04:00:00,2025-09-24,C,103.39,104.07,101.62,101.65,12272426,102.4145,119870,5,aa77721e7e3b74ce45bc6e5e2bc4b6ec,2025-10-19 14:35:43.072215,187127271331.7,16.10461558282604,1637.034173994267
23,24,1758772800000,2025-09-25 04:00:00,2025-09-25,C,101.03,102.26,100.145,102.11,11232898,101.7912,122962,5,aa77721e7e3b74ce45bc6e5e2bc4b6ec,2025-10-19 14:35:43.130251,187974084364.78,16.10461558282604,1644.442297162367
24,25,1758859200000,2025-09-26 04:00:00,2025-09-26,C,102.51,104.315,102.51,103.42,11296327,103.5086,113000,5,aa77721e7e3b74ce45bc6e5e2bc4b6ec,2025-10-19 14:35:43.197243,190385660611.16,16.10461558282604,1665.539343575869
5,6,1758513600000,2025-09-22 04:00:00,2025-09-22,GS,801.14,806.0299,797.54,805.56,1151214,803.9167,47404,5,085f4904796d015ddb5b633fcf72e9a1,2025-10-19 14:35:04.094037,243860002871.52,2.068954102322194,1666.6666666666665
